@relation train

@attribute RightEyeMean numeric
@attribute RightEyeSD numeric
@attribute LeftEyeMean numeric
@attribute LeftEyeSD numeric
@attribute NoseMean numeric
@attribute NoseSD numeric
@attribute LipsMean numeric
@attribute LipsSD numeric
@attribute Class {true,false}

@data
94.375,31.130567,105.638889,48.862579,124.25,23.76126,109.338346,21.941688,true
102.15,39.613226,118.944444,56.210291,119.25,24.58029,112.300752,23.423953,true
101.15,35.295493,121.472222,56.423646,116.95,24.675126,112.142857,23.497951,true
85.525,21.706654,98.472222,41.807372,125.2,26.390676,110.330827,23.071274,true
93.675,30.614549,110.305556,51.143953,113.25,23.100829,115.278195,17.491276,true
101.775,35.184122,123.916667,57.094596,112.433333,25.74409,117.669173,20.144073,true
81.55,21.225227,95.722222,39.125886,120.15,24.482318,115.195489,18.491791,true
64.95,28.515358,80.166667,37.084074,101.883333,20.870132,87.12782,35.199306,true
71.25,30.00235,87.472222,38.480783,101.833333,21.341586,92.541353,43.538647,true
71.55,32.667674,87.75,36.842037,99.3,22.706902,91.842105,41.496046,true
65.175,32.118281,83.027778,36.828937,98.9,22.098163,81.571429,21.421911,true
91.4,27.038245,117.555556,61.125372,131.683333,25.358776,123.541353,22.910402,true
98.725,32.896097,129.388889,66.855613,130.5,24.542941,120.578947,22.336684,true
63.625,30.044145,79,35.061578,104.75,20.458826,90.24812,32.630021,true
78.25,34.391971,94.25,35.70064,103.066667,25.963381,98.300752,48.446782,true
96.625,31.96688,121.277778,62.685889,131.733333,26.857355,123.834586,24.515357,true
105.325,39.131198,138,67.936104,128,26.106042,118.834586,27.598633,true
45.7,21.895088,61.5,27.464783,53.366667,22.443879,51.744361,35.134084,true
33.475,12.318399,50.222222,23.251557,59.066667,21.100138,52.150376,42.08532,true
33.575,12.293187,51.027778,24.213911,59.466667,21.669683,54.887218,44.243584,true
129.125,41.316904,152.944444,70.858791,138.6,33.365058,146.090226,26.439599,true
122.05,39.215349,142.5,67.533484,141.916667,32.217109,146.203008,30.073083,true
122.675,39.150196,142.972222,68.226298,146.65,34.491868,148.759398,30.159714,true
131.375,40.990735,158.5,70.977059,138.783333,34.411316,148.736842,28.707484,true
117.1,34.388281,127.916667,54.004431,138.233333,24.196489,137.729323,17.371663,true
111.6,34.369635,118.972222,48.142934,139.366667,26.583394,138.766917,19.278221,true
110.1,33.693795,122.888889,50.762628,134.5,26.110262,127.473684,21.513061,true
105.625,34.078858,114,44.061645,137.35,28.929971,125.736842,22.150961,true
67.875,26.799529,77.333333,29.476383,95.566667,18.365744,72.315789,18.156879,true
63.2,25.596674,71.888889,28.339551,96.666667,17.526413,72.315789,18.707626,true
128.65,44.813889,134.25,60.798203,138.583333,23.924522,159.052632,24.972201,true
123.1,43.227366,128.472222,60.320802,140.75,25.80673,161.827068,26.586483,true
68.7,28.235457,76.277778,28.906362,96.866667,18.110271,71.233083,17.055119,true
72.9,28.28137,81.611111,29.614936,95.6,19.529378,71.203008,17.715666,true
74.925,27.471559,85.805556,30.057867,94.366667,20.485602,71.43609,17.048217,true
73.875,23.675355,81.583333,30.056494,95.683333,18.291882,72.135338,20.479769,true
76.05,24.002083,83.305556,29.888191,95.75,18.651691,69.804511,16.213284,true
126.175,46.888787,135.361111,62.371767,137.983333,25.400181,158.909774,26.428709,true
126.325,48.077602,142.944444,67.234746,134.8,25.036786,154.210526,28.233618,true
113.625,42.518586,126.111111,58.224088,141,26.311047,159.864662,24.422972,true
81.35,23.435181,110.25,59.515844,101.933333,25.93072,100.270677,19.14978,true
74.1,22.229341,93.222222,44.560784,105.783333,26.281457,102.962406,18.879364,true
81.15,25.931418,100.444444,49.375786,114.116667,29.365662,107.12782,20.545372,true
78.3,25.607691,94.305556,43.923192,116.883333,27.984313,108.015038,21.194977,true
69.65,21.911886,106.611111,59.526358,94.15,25.247134,93.323308,26.80444,true
69.95,22.592204,101.5,58.436046,95.733333,24.513481,94.24812,27.219758,true
69.3,22.70118,95.111111,53.302789,93.566667,22.697246,92.353383,27.814373,true
67.825,21.718346,100.388889,55.797224,90.6,23.280311,91.135338,26.617886,true
93.275,34.75481,110.055556,52.446405,158.233333,36.635801,125.330827,31.228804,true
84.325,35.211003,114,56.928025,152.883333,36.438521,120.045113,31.642383,true
94.125,34.410186,110.972222,53.116307,158.616667,35.954346,123.345865,30.480507,true
93.5,32.332408,108.555556,51.971115,160.983333,37.332901,120.533835,30.76045,true
79.175,33.538258,122.722222,66.988533,152.216667,38.21531,127.300752,34.327298,true
62.35,24.5968,113.583333,57.871965,94,26.443416,77.894737,21.135301,true
61.25,22.681462,101.777778,53.884061,97.433333,24.900049,82.879699,20.698425,true
65.075,28.330818,110.388889,57.551606,99.3,28.040709,82.285714,21.216978,true
111.55,40.79401,134.805556,61.499277,116.433333,32.857869,135.766917,30.415279,true
110.025,39.205237,126.055556,57.595111,120.8,31.967568,140.864662,27.411229,true
104.925,34.477334,133.194444,63.918618,153.383333,31.514372,149.203008,30.004989,true
98.9,27.657984,120.444444,54.007113,155.933333,31.99887,151.045113,31.633044,true
