@relation train

@attribute RightEyeMean numeric
@attribute RightEyeSD numeric
@attribute LeftEyeMean numeric
@attribute LeftEyeSD numeric
@attribute NoseMean numeric
@attribute NoseSD numeric
@attribute LipsMean numeric
@attribute LipsSD numeric
@attribute Class {true,false}

@data
94.375,31.130567,105.638889,48.862579,124.25,23.76126,109.338346,21.941688,true
102.15,39.613226,118.944444,56.210291,119.25,24.58029,112.300752,23.423953,true
101.15,35.295493,121.472222,56.423646,116.95,24.675126,112.142857,23.497951,true
85.525,21.706654,98.472222,41.807372,125.2,26.390676,110.330827,23.071274,true
93.675,30.614549,110.305556,51.143953,113.25,23.100829,115.278195,17.491276,true
101.775,35.184122,123.916667,57.094596,112.433333,25.74409,117.669173,20.144073,true
81.55,21.225227,95.722222,39.125886,120.15,24.482318,115.195489,18.491791,true
64.95,28.515358,80.166667,37.084074,101.883333,20.870132,87.12782,35.199306,true
71.25,30.00235,87.472222,38.480783,101.833333,21.341586,92.541353,43.538647,true
71.55,32.667674,87.75,36.842037,99.3,22.706902,91.842105,41.496046,true
65.175,32.118281,83.027778,36.828937,98.9,22.098163,81.571429,21.421911,true
91.4,27.038245,117.555556,61.125372,131.683333,25.358776,123.541353,22.910402,true
98.725,32.896097,129.388889,66.855613,130.5,24.542941,120.578947,22.336684,true
67.425,35.789189,72.861111,33.174132,97.133333,22.298033,89.917293,32.821382,true
85.525,41.093382,83.444444,34.042364,90.95,26.164684,98,48.521317,true
96.625,31.96688,121.277778,62.685889,131.733333,26.857355,123.834586,24.515357,true
97.6,46.577644,137.194444,67.617757,123.133333,26.142677,119.518797,27.893358,true
45.7,21.895088,61.5,27.464783,53.366667,22.443879,51.744361,35.134084,true
98.875,33.878507,108.444444,45.114106,139.633333,25.64488,110.24812,26.204154,true
102.025,36.315207,119.222222,50.009777,139,29.02658,112.924812,27.895808,true
126.55,43.118769,147.472222,68.927492,149.566667,32.412786,152.12782,28.577225,true
121.8,39.119934,134.305556,61.083465,153.933333,32.407818,151.631579,25.883326,true
117.775,39.644243,126.305556,56.107967,155.633333,33.722178,152.12782,28.615903,true
101.7,35.115341,111.472222,47.672386,146.683333,26.366705,122.120301,26.890642,true
108.15,51.120546,105.583333,45.638565,131.283333,32.317856,121.81203,27.16564,true
100.6,43.027004,100.722222,43.350802,136.966667,28.633255,121.398496,26.629313,true
118.675,53.274032,142.805556,64.733661,143.416667,33.267937,162.902256,32.106561,true
100.175,33.252636,120.361111,53.929665,130.933333,24.756349,111.511278,19.715636,true
99.45,30.856949,115.5,51.592081,134.133333,24.622208,114.864662,17.424635,true
100.225,28.158423,125.361111,55.229988,133.566667,26.088095,116.548872,19.20364,true
102.5,33.10744,114.666667,50.763316,139.1,25.162994,120.827068,18.39405,true
103.5,29.757998,117.194444,52.05811,141.35,26.24127,121.172932,18.672826,true
101.175,52.457009,136.027778,70.685414,155.666667,26.334013,146.774436,22.187089,true
107.175,47.01712,150.166667,73.234067,153.45,22.499284,147.150376,21.999482,true
110.025,43.703246,145.583333,71.512786,155.75,22.638369,144.691729,24.145136,true
116.575,48.265233,151.138889,71.745643,151.05,22.797878,139.864662,25.850028,true
95.925,27.847006,123.416667,57.163112,126.1,23.789116,124.18797,20.728457,true
94.5,28.590836,124.666667,57.364001,122.416667,24.424419,120.87218,19.017701,true
93.8,27.050949,123,55.58931,125.3,22.740466,119.526316,19.773175,true
87,23.564423,110.444444,49.844584,122.016667,20.709853,115.105263,18.65121,true
87.1,23.038207,110.694444,48.941843,119.7,21.152633,110.639098,17.58242,true
90.425,25.823749,115.5,51.878154,115.633333,22.65883,113.676692,18.450404,true
102.95,41.70467,133.972222,65.517494,145.766667,26.899919,149.706767,26.784432,true
92.325,31.635251,121.416667,60.999941,152.2,25.256515,146.503759,26.197566,true
96.375,35.290507,130.722222,66.399488,154.783333,25.580111,147.015038,20.95666,true
104.075,40.648201,138.722222,67.579207,152.516667,25.972927,143.458647,23.481299,true
108.85,43.100092,144.75,66.542092,150.1,27.170335,144.616541,23.103759,true
102.65,40.633162,137.888889,67.804668,151.733333,26.833995,148.466165,22.249463,true
122.475,54.004742,145.555556,68.323786,152.183333,25.565795,152.518797,23.758763,true
116.425,35.738285,132.333333,58.757613,161.133333,24.598103,152.518797,22.264798,true
121.725,50.950447,144.916667,68.327102,151.283333,26.392148,153.864662,22.516924,true
119.1,51.090066,148.222222,69.13511,148.266667,30.58684,150.909774,23.868789,true
101.9,36.848129,117.722222,53.221699,125.066667,24.147054,123.87218,20.625232,true
108.625,36.400682,111.861111,48.196712,128.533333,24.726618,123.097744,18.0659,true
100.15,31.598077,119.194444,54.874829,124.933333,23.542149,122.398496,17.539972,true
109.825,37.460329,112.333333,48.367049,128.416667,24.007973,123.360902,20.516563,true
113.4,36.066747,113.416667,46.037485,134.416667,27.132001,124.263158,19.214457,true
103.575,33.920637,116.75,52.033163,133.883333,25.202967,125.458647,17.03673,true
109.275,64.621179,153.75,73.75805,188.266667,29.689847,173.706767,30.927036,true
142,51.937339,164.694444,72.595088,194.666667,29.061983,176.112782,33.555845,true
