@relation csv_digits30

@attribute Attribute1 numeric
@attribute Attribute2 numeric
@attribute Attribute3 numeric
@attribute Attribute4 numeric
@attribute Attribute5 numeric
@attribute Attribute6 numeric
@attribute Attribute7 numeric
@attribute Attribute8 numeric
@attribute Attribute9 numeric
@attribute Attribute10 numeric
@attribute Attribute11 numeric
@attribute Attribute12 numeric
@attribute Attribute13 numeric
@attribute Attribute14 numeric
@attribute Attribute15 numeric
@attribute Attribute16 numeric
@attribute Attribute17 numeric
@attribute Attribute18 numeric
@attribute Attribute19 numeric
@attribute Attribute20 numeric
@attribute Attribute21 numeric
@attribute Attribute22 numeric
@attribute Attribute23 numeric
@attribute Attribute24 numeric
@attribute Attribute25 numeric
@attribute Attribute26 numeric
@attribute Attribute27 numeric
@attribute Attribute28 numeric
@attribute Attribute29 numeric
@attribute Attribute30 numeric
@attribute Attribute31 numeric
@attribute Attribute32 numeric
@attribute Attribute33 numeric
@attribute Attribute34 numeric
@attribute Attribute35 numeric
@attribute Attribute36 numeric
@attribute Attribute37 numeric
@attribute Attribute38 numeric
@attribute Attribute39 numeric
@attribute Attribute40 numeric
@attribute Attribute41 numeric
@attribute Attribute42 numeric
@attribute Attribute43 numeric
@attribute Attribute44 numeric
@attribute Attribute45 numeric
@attribute Attribute46 numeric
@attribute Attribute47 numeric
@attribute Attribute48 numeric
@attribute Attribute49 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1
0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,2
0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,3
1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,4
1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,5
0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,6
0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,7
0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,8
0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,9
