@relation csv_augmentConstructedFeatures

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute constFeature numeric
@attribute class {1, 2, 3}

@data
1,1,1,1,1,2
1,1,1,2,0.5,3
1,1,1,3,0.333333,3
1,1,1,4,0.25,3
1,1,1,5,0.2,3
1,1,2,1,0.5,3
1,1,2,2,0.25,3
1,1,2,3,0.166667,3
1,1,2,4,0.125,3
1,1,2,5,0.1,3
1,1,3,1,0.333333,3
1,1,3,2,0.166667,3
1,1,3,3,0.111111,3
1,1,3,4,0.083333,3
1,1,3,5,0.066667,3
1,1,4,1,0.25,3
1,1,4,2,0.125,3
1,1,4,3,0.083333,3
1,1,4,4,0.0625,3
1,1,4,5,0.05,3
1,1,5,1,0.2,3
1,1,5,2,0.1,3
1,1,5,3,0.066667,3
1,1,5,4,0.05,3
1,1,5,5,0.04,3
1,2,1,1,2,1
1,2,1,2,1,2
1,2,1,3,0.666667,3
1,2,1,4,0.5,3
1,2,1,5,0.4,3
1,2,2,1,1,2
1,2,2,2,0.5,3
1,2,2,3,0.333333,3
1,2,2,4,0.25,3
1,2,2,5,0.2,3
1,2,3,1,0.666667,3
1,2,3,2,0.333333,3
1,2,3,3,0.222222,3
1,2,3,4,0.166667,3
1,2,3,5,0.133333,3
1,2,4,1,0.5,3
1,2,4,2,0.25,3
1,2,4,3,0.166667,3
1,2,4,4,0.125,3
1,2,4,5,0.1,3
1,2,5,1,0.4,3
1,2,5,2,0.2,3
1,2,5,3,0.133333,3
1,2,5,4,0.1,3
1,2,5,5,0.08,3
1,3,1,1,3,1
1,3,1,2,1.5,1
1,3,1,3,1,2
1,3,1,4,0.75,3
1,3,1,5,0.6,3
1,3,2,1,1.5,1
1,3,2,2,0.75,3
1,3,2,3,0.5,3
1,3,2,4,0.375,3
1,3,2,5,0.3,3
1,3,3,1,1,2
1,3,3,2,0.5,3
1,3,3,3,0.333333,3
1,3,3,4,0.25,3
1,3,3,5,0.2,3
1,3,4,1,0.75,3
1,3,4,2,0.375,3
1,3,4,3,0.25,3
1,3,4,4,0.1875,3
1,3,4,5,0.15,3
1,3,5,1,0.6,3
1,3,5,2,0.3,3
1,3,5,3,0.2,3
1,3,5,4,0.15,3
1,3,5,5,0.12,3
1,4,1,1,4,1
1,4,1,2,2,1
1,4,1,3,1.333333,1
1,4,1,4,1,2
1,4,1,5,0.8,3
1,4,2,1,2,1
1,4,2,2,1,2
1,4,2,3,0.666667,3
1,4,2,4,0.5,3
1,4,2,5,0.4,3
1,4,3,1,1.333333,1
1,4,3,2,0.666667,3
1,4,3,3,0.444444,3
1,4,3,4,0.333333,3
1,4,3,5,0.266667,3
1,4,4,1,1,2
1,4,4,2,0.5,3
1,4,4,3,0.333333,3
1,4,4,4,0.25,3
1,4,4,5,0.2,3
1,4,5,1,0.8,3
1,4,5,2,0.4,3
1,4,5,3,0.266667,3
1,4,5,4,0.2,3
1,4,5,5,0.16,3
1,5,1,1,5,1
1,5,1,2,2.5,1
1,5,1,3,1.666667,1
1,5,1,4,1.25,1
1,5,1,5,1,2
1,5,2,1,2.5,1
1,5,2,2,1.25,1
1,5,2,3,0.833333,3
1,5,2,4,0.625,3
1,5,2,5,0.5,3
1,5,3,1,1.666667,1
1,5,3,2,0.833333,3
1,5,3,3,0.555556,3
1,5,3,4,0.416667,3
1,5,3,5,0.333333,3
1,5,4,1,1.25,1
1,5,4,2,0.625,3
1,5,4,3,0.416667,3
1,5,4,4,0.3125,3
1,5,4,5,0.25,3
1,5,5,1,1,2
1,5,5,2,0.5,3
1,5,5,3,0.333333,3
1,5,5,4,0.25,3
1,5,5,5,0.2,3
2,1,1,1,2,1
2,1,1,2,1,2
2,1,1,3,0.666667,3
2,1,1,4,0.5,3
2,1,1,5,0.4,3
2,1,2,1,1,2
2,1,2,2,0.5,3
2,1,2,3,0.333333,3
2,1,2,4,0.25,3
2,1,2,5,0.2,3
2,1,3,1,0.666667,3
2,1,3,2,0.333333,3
2,1,3,3,0.222222,3
2,1,3,4,0.166667,3
2,1,3,5,0.133333,3
2,1,4,1,0.5,3
2,1,4,2,0.25,3
2,1,4,3,0.166667,3
2,1,4,4,0.125,3
2,1,4,5,0.1,3
2,1,5,1,0.4,3
2,1,5,2,0.2,3
2,1,5,3,0.133333,3
2,1,5,4,0.1,3
2,1,5,5,0.08,3
2,2,1,1,4,1
2,2,1,2,2,1
2,2,1,3,1.333333,1
2,2,1,4,1,2
2,2,1,5,0.8,3
2,2,2,1,2,1
2,2,2,2,1,2
2,2,2,3,0.666667,3
2,2,2,4,0.5,3
2,2,2,5,0.4,3
2,2,3,1,1.333333,1
2,2,3,2,0.666667,3
2,2,3,3,0.444444,3
2,2,3,4,0.333333,3
2,2,3,5,0.266667,3
2,2,4,1,1,2
2,2,4,2,0.5,3
2,2,4,3,0.333333,3
2,2,4,4,0.25,3
2,2,4,5,0.2,3
2,2,5,1,0.8,3
2,2,5,2,0.4,3
2,2,5,3,0.266667,3
2,2,5,4,0.2,3
2,2,5,5,0.16,3
2,3,1,1,6,1
2,3,1,2,3,1
2,3,1,3,2,1
2,3,1,4,1.5,1
2,3,1,5,1.2,1
2,3,2,1,3,1
2,3,2,2,1.5,1
2,3,2,3,1,2
2,3,2,4,0.75,3
2,3,2,5,0.6,3
2,3,3,1,2,1
2,3,3,2,1,2
2,3,3,3,0.666667,3
2,3,3,4,0.5,3
2,3,3,5,0.4,3
2,3,4,1,1.5,1
2,3,4,2,0.75,3
2,3,4,3,0.5,3
2,3,4,4,0.375,3
2,3,4,5,0.3,3
2,3,5,1,1.2,1
2,3,5,2,0.6,3
2,3,5,3,0.4,3
2,3,5,4,0.3,3
2,3,5,5,0.24,3
2,4,1,1,8,1
2,4,1,2,4,1
2,4,1,3,2.666667,1
2,4,1,4,2,1
2,4,1,5,1.6,1
2,4,2,1,4,1
2,4,2,2,2,1
2,4,2,3,1.333333,1
2,4,2,4,1,2
2,4,2,5,0.8,3
2,4,3,1,2.666667,1
2,4,3,2,1.333333,1
2,4,3,3,0.888889,3
2,4,3,4,0.666667,3
2,4,3,5,0.533333,3
2,4,4,1,2,1
2,4,4,2,1,2
2,4,4,3,0.666667,3
2,4,4,4,0.5,3
2,4,4,5,0.4,3
2,4,5,1,1.6,1
2,4,5,2,0.8,3
2,4,5,3,0.533333,3
2,4,5,4,0.4,3
2,4,5,5,0.32,3
2,5,1,1,10,1
2,5,1,2,5,1
2,5,1,3,3.333333,1
2,5,1,4,2.5,1
2,5,1,5,2,1
2,5,2,1,5,1
2,5,2,2,2.5,1
2,5,2,3,1.666667,1
2,5,2,4,1.25,1
2,5,2,5,1,2
2,5,3,1,3.333333,1
2,5,3,2,1.666667,1
2,5,3,3,1.111111,1
2,5,3,4,0.833333,3
2,5,3,5,0.666667,3
2,5,4,1,2.5,1
2,5,4,2,1.25,1
2,5,4,3,0.833333,3
2,5,4,4,0.625,3
2,5,4,5,0.5,3
2,5,5,1,2,1
2,5,5,2,1,2
2,5,5,3,0.666667,3
2,5,5,4,0.5,3
2,5,5,5,0.4,3
3,1,1,1,3,1
3,1,1,2,1.5,1
3,1,1,3,1,2
3,1,1,4,0.75,3
3,1,1,5,0.6,3
3,1,2,1,1.5,1
3,1,2,2,0.75,3
3,1,2,3,0.5,3
3,1,2,4,0.375,3
3,1,2,5,0.3,3
3,1,3,1,1,2
3,1,3,2,0.5,3
3,1,3,3,0.333333,3
3,1,3,4,0.25,3
3,1,3,5,0.2,3
3,1,4,1,0.75,3
3,1,4,2,0.375,3
3,1,4,3,0.25,3
3,1,4,4,0.1875,3
3,1,4,5,0.15,3
3,1,5,1,0.6,3
3,1,5,2,0.3,3
3,1,5,3,0.2,3
3,1,5,4,0.15,3
3,1,5,5,0.12,3
3,2,1,1,6,1
3,2,1,2,3,1
3,2,1,3,2,1
3,2,1,4,1.5,1
