@relation csv_constructedFeatureOnly

@attribute constFeature numeric
@attribute class {1, 2, 3}

@data
1,2
0.5,3
0.333333,3
0.25,3
0.2,3
0.5,3
0.25,3
0.166667,3
0.125,3
0.1,3
0.333333,3
0.166667,3
0.111111,3
0.083333,3
0.066667,3
0.25,3
0.125,3
0.083333,3
0.0625,3
0.05,3
0.2,3
0.1,3
0.066667,3
0.05,3
0.04,3
2,1
1,2
0.666667,3
0.5,3
0.4,3
1,2
0.5,3
0.333333,3
0.25,3
0.2,3
0.666667,3
0.333333,3
0.222222,3
0.166667,3
0.133333,3
0.5,3
0.25,3
0.166667,3
0.125,3
0.1,3
0.4,3
0.2,3
0.133333,3
0.1,3
0.08,3
3,1
1.5,1
1,2
0.75,3
0.6,3
1.5,1
0.75,3
0.5,3
0.375,3
0.3,3
1,2
0.5,3
0.333333,3
0.25,3
0.2,3
0.75,3
0.375,3
0.25,3
0.1875,3
0.15,3
0.6,3
0.3,3
0.2,3
0.15,3
0.12,3
4,1
2,1
1.333333,1
1,2
0.8,3
2,1
1,2
0.666667,3
0.5,3
0.4,3
1.333333,1
0.666667,3
0.444444,3
0.333333,3
0.266667,3
1,2
0.5,3
0.333333,3
0.25,3
0.2,3
0.8,3
0.4,3
0.266667,3
0.2,3
0.16,3
5,1
2.5,1
1.666667,1
1.25,1
1,2
2.5,1
1.25,1
0.833333,3
0.625,3
0.5,3
1.666667,1
0.833333,3
0.555556,3
0.416667,3
0.333333,3
1.25,1
0.625,3
0.416667,3
0.3125,3
0.25,3
1,2
0.5,3
0.333333,3
0.25,3
0.2,3
2,1
1,2
0.666667,3
0.5,3
0.4,3
1,2
0.5,3
0.333333,3
0.25,3
0.2,3
0.666667,3
0.333333,3
0.222222,3
0.166667,3
0.133333,3
0.5,3
0.25,3
0.166667,3
0.125,3
0.1,3
0.4,3
0.2,3
0.133333,3
0.1,3
0.08,3
4,1
2,1
1.333333,1
1,2
0.8,3
2,1
1,2
0.666667,3
0.5,3
0.4,3
1.333333,1
0.666667,3
0.444444,3
0.333333,3
0.266667,3
1,2
0.5,3
0.333333,3
0.25,3
0.2,3
0.8,3
0.4,3
0.266667,3
0.2,3
0.16,3
6,1
3,1
2,1
1.5,1
1.2,1
3,1
1.5,1
