@relation csv_constructedFeatureAndTerminalFeatures

@attribute feature1 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature7 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute constFeature numeric
@attribute class {1, 2, 3}

@data
14.23,15.6,127,3.06,1.04,3.92,3.92,12.982243,1
13.2,11.2,100,2.76,1.05,3.4,3.4,11.990457,1
13.16,18.6,101,3.24,1.03,3.17,3.17,11.526039,1
14.37,16.8,113,3.49,0.86,3.45,3.45,13.220559,1
13.24,21,118,2.69,1.04,2.93,2.93,10.936614,1
14.2,15.2,112,3.39,1.05,2.85,2.85,12.814089,1
14.39,14.6,96,2.52,1.02,3.58,3.58,12.971691,1
14.06,17.6,121,2.51,1.06,3.58,3.58,12.441994,1
14.83,14,97,2.98,1.08,2.85,2.85,13.357816,1
13.86,16,98,3.15,1.01,3.55,3.55,12.515762,1
14.1,18,105,3.32,1.25,3.17,3.17,12.348543,1
14.12,16.8,95,2.43,1.17,2.82,2.82,11.887097,1
13.75,16,89,2.76,1.15,2.9,2.9,11.881617,1
14.75,11.4,91,3.69,1.25,2.73,2.73,13.339566,1
14.38,12,102,3.64,1.2,3,3,13.037931,1
13.63,17.2,112,2.91,1.28,2.88,2.88,11.703161,1
14.3,20,120,3.14,1.07,2.65,2.65,12.267152,1
13.83,20,115,3.4,1.13,2.57,2.57,11.788896,1
14.19,16.5,108,3.93,1.23,2.82,2.82,12.621355,1
13.64,15.2,116,3.03,0.96,3.36,3.36,12.387915,1
14.06,16,126,3.17,1.09,3.71,3.71,12.73497,1
12.93,18.6,102,2.41,1.03,3.52,3.52,11.023364,1
13.71,16.6,101,2.88,1.11,4,4,12.25873,1
12.85,17.8,95,2.37,1.09,3.63,3.63,10.957904,1
13.5,20,96,2.61,1.12,3.82,3.82,11.541678,1
13.05,25,124,2.68,1.13,3.2,3.2,10.206718,1
13.39,16.1,93,2.94,0.92,3.22,3.22,11.969288,1
13.3,17,94,2.19,1.02,2.77,2.77,10.859729,1
13.87,19.4,107,2.97,1.25,3.4,3.4,11.950808,1
14.02,16,96,2.33,1.04,3.59,3.59,12.370199,1
13.73,22.5,101,3.25,1.19,2.71,2.71,11.086146,1
13.58,19.1,106,3.19,1.09,2.88,2.88,11.711196,1
13.68,17.2,104,2.69,1.23,2.87,2.87,11.629112,1
13.76,19.5,132,2.74,1.25,3,3,11.678645,1
13.51,19,110,2.53,1.1,2.87,2.87,11.227331,1
13.48,20.5,100,2.98,1.04,3.47,3.47,11.634306,1
13.28,15.5,110,2.68,1.09,2.78,2.78,11.580122,1
13.05,18,98,2.43,1.12,2.51,2.51,10.330326,1
13.07,15.5,98,2.64,1.18,2.69,2.69,11.136546,1
14.22,13.2,128,3.04,0.89,3.53,3.53,13.173967,1
13.56,16.2,117,3.29,0.95,3.38,3.38,12.316144,1
13.41,18.8,90,2.68,0.91,3,3,11.357861,1
13.88,15,101,3.56,0.88,3.56,3.56,12.791957,1
13.24,17.5,103,2.63,0.82,3,3,11.58416,1
13.05,17,107,3,0.88,3.35,3.35,11.715399,1
14.21,18.9,111,2.65,0.87,3.33,3.33,12.558944,1
14.38,16,102,3.17,1.04,3.44,3.44,13.002305,1
13.9,16,101,3.39,0.91,3.33,3.33,12.671763,1
14.1,18.8,103,2.92,1.07,2.75,2.75,12.029527,1
13.94,17.4,108,3.54,1.12,3.1,3.1,12.414964,1
13.05,12.4,92,3.27,1.12,2.91,2.91,11.701126,1
13.83,17.2,94,2.99,1.24,3.37,3.37,12.056843,1
13.82,14,111,3.74,1.01,3.26,3.26,12.643704,1
13.77,17.1,115,2.79,1.13,2.93,2.93,11.989351,1
13.74,16.4,118,2.9,0.92,3.2,3.2,12.385936,1
13.56,20.5,116,2.78,0.98,3.03,3.03,11.533284,1
14.22,16.3,118,3,0.94,3.31,3.31,12.907795,1
13.29,16.8,102,3.23,1.07,2.84,2.84,11.667559,1
13.72,16.7,108,3.67,0.89,2.87,2.87,12.441286,1
12.37,10.6,88,0.57,1.05,1.82,1.82,-1.255997,2
12.33,16,101,1.09,1.25,1.67,1.67,-1.159189,2
12.64,16.8,100,1.41,0.98,1.59,1.59,2.226011,2
13.67,18,94,1.79,1.23,2.46,2.46,9.24027,2
12.37,19,87,3.1,1.22,2.87,2.87,10.154011,2
12.17,19,104,1.75,1.45,2.23,2.23,6.389464,2
12.37,18.1,98,2.65,1.19,2.3,2.3,9.551221,2
13.11,15,78,3.18,1.12,3.18,3.18,11.566873,2
