@relation csv_constructedFeatureOnly

@attribute constFeature numeric
@attribute class {1, 2, 3}

@data
12.982243,1
11.990457,1
11.526039,1
13.220559,1
10.936614,1
12.814089,1
12.971691,1
12.441994,1
13.357816,1
12.515762,1
12.348543,1
11.887097,1
11.881617,1
13.339566,1
13.037931,1
11.703161,1
12.267152,1
11.788896,1
12.621355,1
12.387915,1
12.73497,1
11.023364,1
12.25873,1
10.957904,1
11.541678,1
10.206718,1
11.969288,1
10.859729,1
11.950808,1
12.370199,1
11.086146,1
11.711196,1
11.629112,1
11.678645,1
11.227331,1
11.634306,1
11.580122,1
10.330326,1
11.136546,1
13.173967,1
12.316144,1
11.357861,1
12.791957,1
11.58416,1
11.715399,1
12.558944,1
13.002305,1
12.671763,1
12.029527,1
12.414964,1
11.701126,1
12.056843,1
12.643704,1
11.989351,1
12.385936,1
11.533284,1
12.907795,1
11.667559,1
12.441286,1
-1.255997,2
-1.159189,2
2.226011,2
9.24027,2
10.154011,2
6.389464,2
9.551221,2
11.566873,2
9.257239,2
5.224994,2
8.896453,2
-12.53319,2
10.275587,2
6.437196,2
9.781471,2
8.926285,2
6.689227,2
9.96083,2
6.174015,2
9.964795,2
9.618993,2
9.015882,2
10.335737,2
1.174068,2
-0.910255,2
9.710929,2
9.87251,2
1.802412,2
2.812171,2
5.085523,2
3.801687,2
4.257888,2
-0.333863,2
-0.526907,2
9.937896,2
9.130185,2
10.122093,2
-3.955739,2
10.033025,2
10.663177,2
9.944408,2
9.470818,2
6.490149,2
9.682052,2
5.495591,2
9.312734,2
8.351057,2
9.179572,2
4.364983,2
9.395741,2
9.710793,2
9.391537,2
8.977385,2
7.514352,2
5.428434,2
8.608934,2
6.305515,2
7.183934,2
8.604199,2
4.779149,2
7.918958,2
9.71844,2
10.076385,2
7.368868,2
10.607614,2
10.191555,2
9.767886,2
10.296027,2
2.396917,2
7.877584,2
4.669851,2
-6.284772,3
-13.49069,3
-52.041398,3
-27.206194,3
-70.442559,3
-50.072009,3
-280.55505,3
-146.587072,3
-97.726823,3
-70.299436,3
-60.15405,3
-46.27402,3
-103.967899,3
-19.620652,3
-11.629933,3
-93.784191,3
-475.733808,3
-66.731368,3
-58.494024,3
-13.223808,3
-14.070041,3
-11.476883,3
-36.821847,3
-28.461925,3
-84.102211,3
-119.12842,3
-31.694518,3
-189.764692,3
-10.414617,3
-20.473523,3
-38.006427,3
-59.245946,3
-50.695061,3
-27.524955,3
-77.574454,3
-178.384404,3
-40.615197,3
-51.062192,3
-48.424003,3
-28.333606,3
-77.317733,3
-112.564153,3
-47.81646,3
-67.427022,3
-74.438808,3
-44.858875,3
-42.366487,3
-90.080027,3
